id,dia,categoria,tipo_logradouro,logradouro,numero,bairro,referencia,cep,subprefeitura,endereco_completo,endereco_geocode,lat,lng,geocode_status
1025-1,Domingo,Tradicional,Rua,Kaneda,304,Jardim Japao,Praca Cianorte,02132-030,Vila Maria/Vila Guilherme,"Rua Kaneda, 304, Jardim Japao","Rua Kaneda, 304, Jardim Japao, São Paulo - SP, 02132-030",,,
1026-0,Domingo,Tradicional,Rua,Benjamim Pereira,521,Jacana,Entre Elimo e Emil Figueiredo,02274-001,Jaçanã/Tremembé,"Rua Benjamim Pereira, 521, Jacana","Rua Benjamim Pereira, 521, Jacana, São Paulo - SP, 02274-001",,,
1027-8,Domingo,Tradicional,Rua,Dos Patis,335,Vila Bela Vista,Benedito Guedes Oliveira 226,02613-000,Casa Verde/Cachoeirinha,"Rua Dos Patis, 335, Vila Bela Vista","Rua Dos Patis, 335, Vila Bela Vista, São Paulo - SP, 02613-000",,,
1028-6,Domingo,Tradicional,Rua,Carneiro da Cunha,S/N,Vila da Saude,Esq Visconde Inhauma,04144-000,Vila Mariana,"Rua Carneiro da Cunha, Vila da Saude","Rua Carneiro da Cunha, Vila da Saude, São Paulo - SP, 04144-000",,,
1029-4,Domingo,Tradicional,Rua,Ibiapaba,S/N,Vila Sonia,Rua Manoel Jacinto,05625-020,Butantã,"Rua Ibiapaba, Vila Sonia","Rua Ibiapaba, Vila Sonia, São Paulo - SP, 05625-020",,,
1030-8,Domingo,Tradicional,Avenida,Trumain com Henrique Morize,S/N,Vila Formosa,Praca Liberia,03366-000,Aricanduva/Formosa/Carrão,"Avenida Trumain com Henrique Morize, Vila Formosa","Avenida Trumain, Vila Formosa, São Paulo - SP, 03366-000",,,
1031-6,Domingo,Tradicional,Rua,Comendador Gil Pinheiro,325,Vila California,Viaduto Vila Carrao,03406-000,Aricanduva/Formosa/Carrão,"Rua Comendador Gil Pinheiro, 325, Vila California","Rua Comendador Gil Pinheiro, 325, Vila California, São Paulo - SP, 03406-000",,,
1032-4,Domingo,Tradicional,Rua,Omacha,530,Penha,Avenida Amador Bueno da Veiga,03610-020,Penha,"Rua Omacha, 530, Penha","Rua Omacha, 530, Penha, São Paulo - SP, 03610-020",,,
1033-2,Domingo,Tradicional,Rua,Carlos Cesar,S/N,Vila Divina Pastora,Es Oratorio e Professor Luiz I Melo,03265-020,Vila Prudente,"Rua Carlos Cesar, Vila Divina Pastora","Rua Carlos Cesar, Vila Divina Pastora, São Paulo - SP, 03265-020",,,
1034-0,Domingo,Tradicional,Praça,Bauxita,95,Vila Dalila,Waldemar Carlos Pereira,03520-050,Penha,"Praça Bauxita, 95, Vila Dalila","Praça Bauxita, 95, Vila Dalila, São Paulo - SP, 03520-050",,,
1035-9,Domingo,Tradicional,Rua,Nilza,S/N,Vila Esperanca,Vila Esperanca,03651-120,Penha,"Rua Nilza, Vila Esperanca","Rua Nilza, Vila Esperanca, São Paulo - SP, 03651-120",,,
1036-7,Domingo,Tradicional,Rua,Benedito Leal,117,Pq Artur Alvim,Rua Desembargador Rocha Portela,03567-060,Penha,"Rua Benedito Leal, 117, Pq Artur Alvim","Rua Benedito Leal, 117, Pq Artur Alvim, São Paulo - SP, 03567-060",,,
1037-5,Domingo,Tradicional,Rua,Ken Sugaya,S/N,Itaquera,E Colonial das Missoes,08210-100,Itaquera,"Rua Ken Sugaya, Itaquera","Rua Ken Sugaya, Itaquera, São Paulo - SP, 08210-100",,,
1038-3,Domingo,Tradicional,Rua,Shobee Kumagai,6996,Ermelino Matarazzo,Avenida Paranagua,03809-020,Ermelino Matarazzo,"Rua Shobee Kumagai, 6996, Ermelino Matarazzo","Rua Shobee Kumagai, 6996, Ermelino Matarazzo, São Paulo - SP, 03809-020",,,
1039-1,Domingo,Tradicional,Rua,Coutinho e Melo,S/N,Guaianazes,Entre Fco Pinhero e Melo Paiva,08411-090,Guaianases,"Rua Coutinho e Melo, Guaianazes","Rua Coutinho e Melo, Guaianazes, São Paulo - SP, 08411-090",,,
1040-5,Domingo,Tradicional,Estrada,Do Sabao,448,Cruz das Almas,Av Elisio Teixeira Leite,02806-000,Freguesia/Brasilândia,"Estrada Do Sabao, 448, Cruz das Almas","Estrada Do Sabao, 448, Cruz das Almas, São Paulo - SP, 02806-000",,,
1041-3,Domingo,Tradicional,Rua,Antonio Correia,618,Vila Bonilha,Antonio Correa 1B,02917-050,Pirituba/Jaraguá,"Rua Antonio Correia, 618, Vila Bonilha","Rua Antonio Correia, 618, Vila Bonilha, São Paulo - SP, 02917-050",,,
1042-1,Domingo,Tradicional,Rua,Jureia,S/N,Santa Cruz,Entre R S.cruz/jorge Tibirica,04140-110,Vila Mariana,"Rua Jureia, Santa Cruz","Rua Jureia, Santa Cruz, São Paulo - SP, 04140-110",,,
1043-0,Domingo,Tradicional,Rua,Agamenon Magalhaes,138,Santa Edwiges,Rua Adao Goncalves,05105-090,Lapa,"Rua Agamenon Magalhaes, 138, Santa Edwiges","Rua Agamenon Magalhaes, 138, Santa Edwiges, São Paulo - SP, 05105-090",,,
1044-8,Domingo,Tradicional,Praça,Nova America,15-A,Cidade Vargas,Esq Rua São Wenceslau,04316-090,Jabaquara,"Praça Nova America, 15-A, Cidade Vargas","Praça Nova America, 15-A, Cidade Vargas, São Paulo - SP, 04316-090",,,
1045-6,Domingo,Tradicional,Rua,Joaquim Gouveia Franco,173,Cidade São Matheus,Avenida Mateo Bei,03961-020,São Mateus,"Rua Joaquim Gouveia Franco, 173, Cidade São Matheus","Rua Joaquim Gouveia Franco, 173, Cidade São Matheus, São Paulo - SP, 03961-020",,,
1046-4,Domingo,Tradicional,Rua,Buenopolis,62,Vila Diva,S/inform,03161-010,Mooca,"Rua Buenopolis, 62, Vila Diva","Rua Buenopolis, 62, Vila Diva, São Paulo - SP, 03161-010",,,
1047-2,Domingo,Tradicional,Avenida,Professor Assis Veloso,817,Jardim São Vicente,Estrada São Paulo Rio,08021-470,São Miguel,"Avenida Professor Assis Veloso, 817, Jardim São Vicente","Avenida Professor Assis Veloso, 817, Jardim São Vicente, São Paulo - SP, 08021-470",,,
1048-0,Domingo,Tradicional,Rua,Jose Joaquim Seabra,S/N,Vila Tiradentes,Estrada de Cotia,05364-000,Butantã,"Rua Jose Joaquim Seabra, Vila Tiradentes","Rua Jose Joaquim Seabra, Vila Tiradentes, São Paulo - SP, 05364-000",,,
1049-9,Domingo,Tradicional,Rua,Professor Alzira de o Gilioli,1817,Vila Rica,Centro Esportivo Municipal,03905-100,Aricanduva/Formosa/Carrão,"Rua Professor Alzira de o Gilioli, 1817, Vila Rica","Rua Professor Alzira de o Gilioli, 1817, Vila Rica, São Paulo - SP, 03905-100",,,
1050-2,Domingo,Tradicional,Rua,Doutor Tolstoi de Carvalho,S/N,Sapopemba,Avenida Sapopemba,03269-020,Sapopemba,"Rua Doutor Tolstoi de Carvalho, Sapopemba","Rua Doutor Tolstoi de Carvalho, Sapopemba, São Paulo - SP, 03269-020",,,
1051-0,Domingo,Tradicional,Rua,Mere Marie Annais do Sion,S/N,Vila Nova Mazzei,Avenida Sezefredo Fagundes,02343-030,Santana/Tucuruvi,"Rua Mere Marie Annais do Sion, Vila Nova Mazzei","Rua Mere Marie Annais do Sion, Vila Nova Mazzei, São Paulo - SP, 02343-030",,,
1052-9,Domingo,Tradicional,Rua,Canedos,S/N,Vila Gustavo,,02252-010,Santana/Tucuruvi,"Rua Canedos, Vila Gustavo","Rua Canedos, Vila Gustavo, São Paulo - SP, 02252-010",,,
1053-7,Domingo,Tradicional,Rua,Doutor Costa Junior C Tanabi,35,Agua Branca,Avenida Antartica,05002-000,Lapa,"Rua Doutor Costa Junior C Tanabi, 35, Agua Branca","Rua Doutor Costa Junior C Tanabi, 35, Agua Branca, São Paulo - SP, 05002-000",,,
1054-5,Domingo,Tradicional,Rua,Assungui com Americo Ribeiro,S/N,Vila Gumercindo,Rua Santa Cruz,04131-000,Ipiranga,"Rua Assungui com Americo Ribeiro, Vila Gumercindo","Rua Assungui, Vila Gumercindo, São Paulo - SP, 04131-000",,,
1055-3,Domingo,Tradicional,Rua,Luis Pinto,S/N,Vila Carrao,Rua Conselheiro Carrao,03427-000,Aricanduva/Formosa/Carrão,"Rua Luis Pinto, Vila Carrao","Rua Luis Pinto, Vila Carrao, São Paulo - SP, 03427-000",,,
1056-1,Domingo,Tradicional,Rua,Pedro Henrique de o Braganca,S/N,Vila Jaguara,Pc Rocha Falcao 21,05117-002,Lapa,"Rua Pedro Henrique de o Braganca, Vila Jaguara","Rua Pedro Henrique de o Braganca, Vila Jaguara, São Paulo - SP, 05117-002",,,
1057-0,Domingo,Tradicional,Rua,Rodolfo Marcos Teofilo,248,Jardim Eliseo,R Henry Charles Potel,02862-100,Freguesia/Brasilândia,"Rua Rodolfo Marcos Teofilo, 248, Jardim Eliseo","Rua Rodolfo Marcos Teofilo, 248, Jardim Eliseo, São Paulo - SP, 02862-100",,,
1058-8,Domingo,Tradicional,Rua,Doutora Neyde Apparecida Sollito,S/N,Vila Clementino,Napoleao de Barros e Botucatu,04022-040,Vila Mariana,"Rua Doutora Neyde Apparecida Sollito, Vila Clementino","Rua Doutora Neyde Apparecida Sollito, Vila Clementino, São Paulo - SP, 04022-040",,,
1059-6,Domingo,Tradicional,Rua,Helion Povoa,165,Vila Olimpia,Entre Santo Amaro e Uberibinha,04546-080,Pinheiros,"Rua Helion Povoa, 165, Vila Olimpia","Rua Helion Povoa, 165, Vila Olimpia, São Paulo - SP, 04546-080",,,
1060-0,Domingo,Tradicional,Rua,Luciano Broinizzi C Japi,191,Vila Ede,Estrada da Conceicao,02083-120,Vila Maria/Vila Guilherme,"Rua Luciano Broinizzi C Japi, 191, Vila Ede","Rua Luciano Broinizzi C Japi, 191, Vila Ede, São Paulo - SP, 02083-120",,,
1061-8,Domingo,Tradicional,Rua,Valente de Novaes,S/N,Jardim Camargo,R Tiburcio Souza/alb Pinheiro,08120-420,Itaim Paulista,"Rua Valente de Novaes, Jardim Camargo","Rua Valente de Novaes, Jardim Camargo, São Paulo - SP, 08120-420",,,
1062-6,Domingo,Tradicional,Rua,Francisco Souza Queiroz,92,Vila Rio Branco,Avenida Lagoa Mirim,03874-100,Ermelino Matarazzo,"Rua Francisco Souza Queiroz, 92, Vila Rio Branco","Rua Francisco Souza Queiroz, 92, Vila Rio Branco, São Paulo - SP, 03874-100",,,
1063-4,Domingo,Tradicional,Rua,Camomila,852,Jardim Helena,Ref Rua Erva Andorinha,08090-530,São Miguel,"Rua Camomila, 852, Jardim Helena","Rua Camomila, 852, Jardim Helena, São Paulo - SP, 08090-530",,,
1065-0,Domingo,Tradicional,Praça,Bras Goncalves,S/N,Jardim da Saude,Final Av Bosque da Saude,04148-040,Ipiranga,"Praça Bras Goncalves, Jardim da Saude","Praça Bras Goncalves, Jardim da Saude, São Paulo - SP, 04148-040",,,
1066-9,Domingo,Tradicional,Rua,Antonio Lamas,31,Vila Cristalia,Estrada das Lagrimas,04257-190,Ipiranga,"Rua Antonio Lamas, 31, Vila Cristalia","Rua Antonio Lamas, 31, Vila Cristalia, São Paulo - SP, 04257-190",,,
1067-7,Domingo,Tradicional,Rua,Hugo Vitor da Silva,S/N,Americanopolis,São Paulo,04340-040,Jabaquara,"Rua Hugo Vitor da Silva, Americanopolis","Rua Hugo Vitor da Silva, Americanopolis, São Paulo - SP, 04340-040",,,
1068-5,Domingo,Tradicional,Rua,Goita,130,Cangaiba,Avenida Cangaiba,03715-040,Penha,"Rua Goita, 130, Cangaiba","Rua Goita, 130, Cangaiba, São Paulo - SP, 03715-040",,,
1070-7,Domingo,Tradicional,Rua,Francisco Soares,S/N,Pq Regina,Entre Francisco Soares,05774-300,Campo Limpo,"Rua Francisco Soares, Pq Regina","Rua Francisco Soares, Pq Regina, São Paulo - SP, 05774-300",,,
1071-5,Domingo,Tradicional,Rua,Jose Bezerra Filho,49,Pq Grajau,Estrada do Borore-panif.grajau,04842-340,Capela do Socorro,"Rua Jose Bezerra Filho, 49, Pq Grajau","Rua Jose Bezerra Filho, 49, Pq Grajau, São Paulo - SP, 04842-340",,,
1073-1,Domingo,Tradicional,Avenida,Cachoeira Santa Cruz,751,Jardim Popular,Ent Girassol e Manoel Oliveira,03625-000,Ermelino Matarazzo,"Avenida Cachoeira Santa Cruz, 751, Jardim Popular","Avenida Cachoeira Santa Cruz, 751, Jardim Popular, São Paulo - SP, 03625-000",,,
1074-0,Domingo,Tradicional,Rua,Aderbal Stresser,S/N,Jardim Arpoador,Km 18 da Rv Raposo Tavares,05566-000,Butantã,"Rua Aderbal Stresser, Jardim Arpoador","Rua Aderbal Stresser, Jardim Arpoador, São Paulo - SP, 05566-000",,,
1075-8,Domingo,Tradicional,Rua,Almirante Otacilio Cunha,S/N,Pq Santa Madalena,Avenida Sapopemba ALT.10050,03982-190,Sapopemba,"Rua Almirante Otacilio Cunha, Pq Santa Madalena","Rua Almirante Otacilio Cunha, Pq Santa Madalena, São Paulo - SP, 03982-190",,,
1076-6,Domingo,Tradicional,Rua,Alba C Joaquim Morais,302,Santa Catarina,Joaquim Moraes e Joao B Meneze,04346-000,Jabaquara,"Rua Alba C Joaquim Morais, 302, Santa Catarina","Rua Alba C Joaquim Morais, 302, Santa Catarina, São Paulo - SP, 04346-000",,,
1077-4,Domingo,Tradicional,Rua,Arnaldo Magnicaro,398,Jardim Jurubatuba,Av Nossa Senhora do Sabara,04691-060,Santo Amaro,"Rua Arnaldo Magnicaro, 398, Jardim Jurubatuba","Rua Arnaldo Magnicaro, 398, Jardim Jurubatuba, São Paulo - SP, 04691-060",,,
1078-2,Domingo,Tradicional,Avenida,Amadeu da Silva Samello,S/N,Campo Limpo,Tv Es Campo Limpo,05760-140,Campo Limpo,"Avenida Amadeu da Silva Samello, Campo Limpo","Avenida Amadeu da Silva Samello, Campo Limpo, São Paulo - SP, 05760-140",,,
1079-0,Domingo,Tradicional,Avenida,Cupece,25,Cidade Ademar,S/inform,04366-000,Cidade Ademar,"Avenida Cupece, 25, Cidade Ademar","Avenida Cupece, 25, Cidade Ademar, São Paulo - SP, 04366-000",,,
1080-4,Domingo,Tradicional,Rua,Nossa Senhora do Outeiro,S/N,Cidade Dutra,R Guaruva e Santa Gregoria,04807-010,Capela do Socorro,"Rua Nossa Senhora do Outeiro, Cidade Dutra","Rua Nossa Senhora do Outeiro, Cidade Dutra, São Paulo - SP, 04807-010",,,
1081-2,Domingo,Tradicional,Avenida,Nova Independencia,S/N,Cidade Moncoes,Entre Os N.s 489 e 837,04570-001,Pinheiros,"Avenida Nova Independencia, Cidade Moncoes","Avenida Nova Independencia, Cidade Moncoes, São Paulo - SP, 04570-001",,,
1082-0,Domingo,Tradicional,Rua,Marcelino Coelho,S/N,Jardim Angela,S/inf.,04939-010,M'Boi Mirim,"Rua Marcelino Coelho, Jardim Angela","Rua Marcelino Coelho, Jardim Angela, São Paulo - SP, 04939-010",,,
1083-9,Domingo,Tradicional,Rua,Antonio Pereira Taques,15,Jardim Presidente,Antonio Pereira Taques,04828-120,Capela do Socorro,"Rua Antonio Pereira Taques, 15, Jardim Presidente","Rua Antonio Pereira Taques, 15, Jardim Presidente, São Paulo - SP, 04828-120",,,
1084-7,Domingo,Tradicional,Avenida,Angelo Cristianini,32,Jardim Miriam,Entre Cupece e Av Assembleia,04424-000,Cidade Ademar,"Avenida Angelo Cristianini, 32, Jardim Miriam","Avenida Angelo Cristianini, 32, Jardim Miriam, São Paulo - SP, 04424-000",,,
1085-5,Domingo,Tradicional,Rua,Arraial dos Couros,S/N,Jardim São Luiz,Entre Geraldo Fraga Oliveira,05843-140,M'Boi Mirim,"Rua Arraial dos Couros, Jardim São Luiz","Rua Arraial dos Couros, Jardim São Luiz, São Paulo - SP, 05843-140",,,
1086-3,Domingo,Tradicional,Avenida,Inacio Cunha Leme,357,Jardim Ipanema,Avenida Robert Kenedy,04784-145,Capela do Socorro,"Avenida Inacio Cunha Leme, 357, Jardim Ipanema","Avenida Inacio Cunha Leme, 357, Jardim Ipanema, São Paulo - SP, 04784-145",,,
1087-1,Domingo,Tradicional,Rua,Augusto de Castro,74,Pedreira,Estrada do Alvarenga,04466-090,Cidade Ademar,"Rua Augusto de Castro, 74, Pedreira","Rua Augusto de Castro, 74, Pedreira, São Paulo - SP, 04466-090",,,
1088-0,Domingo,Tradicional,Estrada,De Itapecerica,S/N,Pq Fernanda,Km 24 Estrada de Itapecerica,05858-003,Campo Limpo,"Estrada De Itapecerica, Pq Fernanda","Estrada De Itapecerica, Pq Fernanda, São Paulo - SP, 05858-003",,,
1089-8,Domingo,Tradicional,Rua,Barao de Monte Mor,166,Paineiras do Morumbi,Rua Barao de C.gerais,05687-010,Butantã,"Rua Barao de Monte Mor, 166, Paineiras do Morumbi","Rua Barao de Monte Mor, 166, Paineiras do Morumbi, São Paulo - SP, 05687-010",,,
1090-1,Domingo,Tradicional,Avenida,Mario Lopes Leao,700,Santo Amaro,Praca Floriano Peixoto,04754-010,Santo Amaro,"Avenida Mario Lopes Leao, 700, Santo Amaro","Avenida Mario Lopes Leao, 700, Santo Amaro, São Paulo - SP, 04754-010",,,
1091-0,Domingo,Tradicional,Rua,Palmeira Laca,14A,Jardim Eliane,Avenida Itaquera,03577-090,Itaquera,"Rua Palmeira Laca, 14A, Jardim Eliane","Rua Palmeira Laca, 14A, Jardim Eliane, São Paulo - SP, 03577-090",,,
1092-8,Domingo,Tradicional,Praça,Pedro Rocha,S/N,Parelheiros,Estrada de Parelheiros,04892-017,Parelheiros,"Praça Pedro Rocha, Parelheiros","Praça Pedro Rocha, Parelheiros, São Paulo - SP, 04892-017",,,
1094-4,Domingo,Tradicional,Rua,Albino Correa de Campos,S/N,Vila Remo,Estrada do M Boi Mirim 1765,05831-020,M'Boi Mirim,"Rua Albino Correa de Campos, Vila Remo","Rua Albino Correa de Campos, Vila Remo, São Paulo - SP, 05831-020",,,
1095-2,Domingo,Tradicional,Rua,Tome da Rocha,31,Jardim Elba,Avenida Marginal,03980-070,Sapopemba,"Rua Tome da Rocha, 31, Jardim Elba","Rua Tome da Rocha, 31, Jardim Elba, São Paulo - SP, 03980-070",,,
1096-0,Domingo,Tradicional,Rua,Estanislau Moniusko,1069,Vila Joanisa,Yervant Kissa Jikian Av,04429-010,Cidade Ademar,"Rua Estanislau Moniusko, 1069, Vila Joanisa","Rua Estanislau Moniusko, 1069, Vila Joanisa, São Paulo - SP, 04429-010",,,
1097-9,Domingo,Tradicional,Avenida,Guilherme de Almeida,107,Pq Belem,Avenida Parada Pinto,02866-040,Freguesia/Brasilândia,"Avenida Guilherme de Almeida, 107, Pq Belem","Avenida Guilherme de Almeida, 107, Pq Belem, São Paulo - SP, 02866-040",,,
1099-5,Domingo,Tradicional,Avenida,Academia de São Paulo,772,Jardim Camargo Novo,Rua do Progresso,08121-400,Itaim Paulista,"Avenida Academia de São Paulo, 772, Jardim Camargo Novo","Avenida Academia de São Paulo, 772, Jardim Camargo Novo, São Paulo - SP, 08121-400",,,
1102-9,Domingo,Tradicional,Rua,São Goncalo do Rio das Pedras,132,Pq Paulistano,Avenida Oliveira de Freire,08081-000,São Miguel,"Rua São Goncalo do Rio das Pedras, 132, Pq Paulistano","Rua São Goncalo do Rio das Pedras, 132, Pq Paulistano, São Paulo - SP, 08081-000",,,
1104-5,Domingo,Tradicional,Rua,Barcelona,99,Jaguare,Av Presidente Altino 655,05331-010,Lapa,"Rua Barcelona, 99, Jaguare","Rua Barcelona, 99, Jaguare, São Paulo - SP, 05331-010",,,
1105-3,Domingo,Tradicional,Rua,Flor de Caboclo,1,Pq Guarani,Avenida Imperador,08235-360,Itaquera,"Rua Flor de Caboclo, 1, Pq Guarani","Rua Flor de Caboclo, 1, Pq Guarani, São Paulo - SP, 08235-360",,,
1106-1,Domingo,Tradicional,Rua,Luiza de Jesus Ferreira,30,Jardim Roseli,Tv Estrada do Iguatemi,08380-048,São Mateus,"Rua Luiza de Jesus Ferreira, 30, Jardim Roseli","Rua Luiza de Jesus Ferreira, 30, Jardim Roseli, São Paulo - SP, 08380-048",,,
1107-0,Domingo,Tradicional,Largo,Leon de Tolstoi com Any,S/N,Vila Independencia,Rua Anny,04241-010,Ipiranga,"Largo Leon de Tolstoi com Any, Vila Independencia","Largo Leon de Tolstoi, Vila Independencia, São Paulo - SP, 04241-010",,,
1108-8,Domingo,Tradicional,Rua,Jasmim da Espanha,S/N,Jardim Brasilia,Proximo a Pc Waldemar Bassi,03585-040,Itaquera,"Rua Jasmim da Espanha, Jardim Brasilia","Rua Jasmim da Espanha, Jardim Brasilia, São Paulo - SP, 03585-040",,,
1110-0,Domingo,Tradicional,Rua,Douradoquara,S/N,Jardim Paraguassu,Praca Catas Altas,03939-010,São Mateus,"Rua Douradoquara, Jardim Paraguassu","Rua Douradoquara, Jardim Paraguassu, São Paulo - SP, 03939-010",,,
1111-8,Domingo,Tradicional,Rua,Maria Elisa Siqueira,S/N,Vila Barbosa,Praca Menino Jesus,02558-000,Casa Verde/Cachoeirinha,"Rua Maria Elisa Siqueira, Vila Barbosa","Rua Maria Elisa Siqueira, Vila Barbosa, São Paulo - SP, 02558-000",,,
1113-4,Domingo,Tradicional,Rua,Benedito de Souza Borges,S/N,Jardim Robru,S/inf,08150-340,Itaim Paulista,"Rua Benedito de Souza Borges, Jardim Robru","Rua Benedito de Souza Borges, Jardim Robru, São Paulo - SP, 08150-340",,,
